Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years,Item_Type_New
15.25,0,0.026480954,13,87.6198,1,2,3,2180.495,37,1
13.35,0,0.102511504,4,230.6352,2,0,1,3435.528,25,1
9.8,0,0.02681843,10,126.002,0,2,1,2150.534,35,1
13.6,0,0.117818348,13,192.9136,1,0,1,2527.3768,23,1
21.35,0,0.069102831,3,259.9278,1,2,2,6768.5228,13,1
12.15,2,0.042277867,3,126.5046,0,2,1,373.5138,35,1
6.42,0,0.089498926,4,178.1002,2,2,0,358.2004,24,1
19.6,1,0.021101573,8,153.3024,2,1,1,2428.8384,20,2
10.0,0,0.025879577,3,265.2226,2,1,1,5815.0972,20,1
15.85,2,0.121632721,0,60.622,2,0,1,2576.646,25,1
10.195,2,0.255394896,4,196.8794,2,0,0,780.3176,37,1
7.39,1,0.067779712,8,143.8812,2,0,1,3134.5864,25,2
10.195,0,0.159803853,5,141.5154,0,2,1,850.8924,35,1
9.895,2,0.028696932,3,117.0492,0,2,1,810.9444,35,1
10.895,0,0.065041581,6,196.3794,2,1,1,3121.2704,15,1
12.15,1,0.028760013,9,151.4708,2,1,1,4815.0656,15,2
7.905,0,0.010053105,13,249.0408,1,2,2,6258.52,13,1
9.195,1,0.048157338,9,106.1622,2,1,1,2117.244,20,2
8.365,0,0.071958197,7,38.0506,1,0,1,796.9626,23,0
15.1,0,0.173481304,13,194.511,2,0,1,4910.275,25,1
5.94,0,0.061082177,3,180.0344,2,0,0,892.172,37,1
10.0,0,0.0232488068,6,246.9144,1,2,2,3185.1872,13,1
7.97,2,0.040071131,10,87.3514,2,1,1,1062.6168,20,1
6.215,0,0.012090074,6,38.2848,1,2,3,484.7024,37,1
15.5,2,0.15028599,5,51.0692,2,0,0,147.8076,37,1
17.5,0,0.026015519,13,255.8356,1,2,3,2543.356,37,1
17.7,0,0.195068226,13,185.4266,2,2,0,184.4266,24,1
19.35,0,0.033082215,10,172.5738,2,1,1,4865.6664,18,1
13.65,2,0.078946455,4,186.024,2,1,1,1118.544,20,1
17.6,0,0.041700756,14,164.8526,2,1,1,2302.3364,20,0
8.645,1,0.143422643,8,95.841,2,0,1,2027.361,25,2
15.6,2,0.105296072,13,170.1764,2,0,1,3435.528,25,1
15.85,2,0.121531501,0,59.222,0,2,1,599.22,35,1
18.25,0,0.056988493333333334,15,164.7526,2,1,1,4604.6728,20,1
7.855,0,0.011324862,3,189.6188,2,1,1,2285.0256,15,1
7.825,1,0.186357148,9,254.3698,1,0,1,5580.7356,23,2
8.39,2,0.024205661,5,114.0176,2,0,1,2290.352,25,1
12.85,0,0.033230816,13,172.3422,1,0,1,1207.0954,23,1
13.35,0,0.113720344,0,89.9804,2,0,0,643.1628,37,1
19.0,0,0.112556507,5,104.9622,2,1,1,1587.933,15,1
5.905,0,0.0434213736,3,222.5456,2,1,1,5305.0944,20,1
7.76,0,0.059352241,13,101.87,2,0,1,1697.79,25,1
11.8,2,0.014087057,5,180.3344,2,0,1,1427.4752,25,1
16.75,0,0.045230944,13,187.9556,1,2,2,4693.89,13,1
18.85,1,0.293417759,9,194.6136,2,0,0,583.2408,37,2
12.6,2,0.031382044,0,171.3764,1,2,3,3091.9752,37,1
15.5,2,0.12639886,6,177.0028,2,1,1,2479.4392,15,1
6.055,0,0.025403898,6,160.992,2,1,1,2716.464,18,1
20.2,2,0.039057677,2,155.963,1,2,3,3285.723,37,1
6.305,2,0.123115764,13,95.6436,2,0,1,661.8052,25,1
20.85,0,0.039624006,10,117.2808,1,0,1,1523.3504,23,1
20.75,0,0.040421193,6,122.173,2,2,0,369.519,24,1
8.895,0,0.105274111,4,39.9138,1,0,1,690.4346,23,0
19.6,0,0.033970195,14,55.1614,2,1,1,1381.535,20,0
19.7,0,0.053212652,6,57.893,2,1,1,622.523,18,1
9.8,1,0.024378706,8,114.5492,2,1,1,1274.3412,18,2
7.93,0,0.009714595,5,120.0414,2,0,0,487.3656,37,1
12.15,0,0.131383762,5,246.046,1,0,1,1231.73,23,1
8.75,2,0.07461309,6,187.4556,2,1,1,3755.112,18,1
12.15,1,0.028459761,9,149.9708,1,2,3,4363.6532,37,2
8.75,2,0.074627201,6,187.8556,2,0,1,1314.2892,25,1
13.3,0,0.063695084,5,151.0708,2,1,1,1805.6496,20,1
20.6,2,0.045797829,13,178.5344,1,2,3,2854.9504,37,1
8.31,2,0.115857223,13,179.1028,1,0,1,3896.2616,23,1
16.75,2,0.024832806,14,38.7822,0,2,1,667.7974,35,0
19.75,0,0.034027909,13,212.0902,1,2,2,3185.853,13,1
17.1,2,0.0467696,3,141.1838,0,2,1,2247.7408,35,1
10.5,2,0.116576702,0,163.121,0,2,1,1794.331,35,1
6.635,2,0.004224196666666667,0,121.3098,2,1,1,2530.7058,20,1
9.395,0,0.278974075,14,225.372,2,0,0,679.116,37,0
14.15,0,0.035913805,14,41.4138,0,2,1,812.276,35,0
13.3,0,0.079806266,4,232.53,2,0,1,699.09,25,1
8.89,0,0.005505481,5,102.4016,2,1,1,2732.4432,15,1
6.69,2,0.064625342,10,176.937,2,0,0,176.437,37,1
6.195,0,0.071636937,13,121.7098,1,2,3,4097.3332,37,1
9.1,2,0.07503556575,1,173.2054,2,1,1,3151.8972,20,1
7.5,0,0.032677678,5,239.0906,1,0,1,5942.265,23,1
16.85,2,0.160760054,5,192.4478,2,1,1,4843.695,15,1
7.485,0,0.06911065,13,109.0228,2,1,1,2542.0244,18,1
11.6,0,0.041177505,14,140.3154,2,1,1,2552.6772,15,0
11.65,0,0.040081193,13,227.0694,1,2,2,1141.847,13,1
13.0,1,0.035307322,9,47.5034,2,1,1,680.4476,15,2
12.65,0,0.063017847,14,159.0578,2,1,1,2085.9514,20,0
20.25,2,0.171938781,3,92.512,2,2,0,186.424,24,1
8.6,2,0.040197932,3,190.153,2,1,1,3036.048,18,1
12.6,0,0.049058014,1,62.7194,2,1,1,866.8716,15,1
17.7,0,0.01161096,5,95.041,2,1,1,868.869,18,1
14.15,0,0.183507295,14,82.4276,2,0,1,1137.1864,25,0
19.25,0,0.102349519,4,52.7956,2,1,1,928.1252,15,1
8.88,0,0.086708987,7,151.7682,0,2,1,762.341,35,0
20.5,1,0.032835147,9,40.2822,2,1,1,707.0796,20,2
12.0,0,0.033809913,3,180.5976,1,2,3,7968.2944,37,1
13.5,1,0.07266912,9,160.292,2,0,1,1438.128,25,2
12.15,1,0.144338493,8,224.4404,1,2,3,6976.2524,37,2
8.89,0,0.009163216,5,101.7016,2,2,0,101.2016,24,1
7.855,0,0.011307038,3,188.5188,1,2,2,952.094,13,1
7.235,1,0.076855628,9,116.0492,2,0,1,1969.4364,25,2
18.25,0,0.059956876,15,165.4526,1,2,3,5262.4832,37,1
6.92,0,0.038532062,4,60.5852,2,1,1,1314.2892,20,1
9.3,0,0.043209581,6,90.8172,2,1,1,535.3032,15,1
18.5,1,0.056816465,11,132.1284,2,2,0,263.6568,24,2
8.02,1,0.019866705,9,154.5972,2,1,1,1402.1748,18,2
9.195,1,0.048331717,9,105.1622,2,1,1,1693.7952,15,2
12.8,1,0.091221855,11,105.5938,2,1,1,2143.876,20,2
16.6,1,0.027622076,9,177.6344,1,0,1,2676.516,23,2
14.0,2,0.128357683,5,53.064,2,1,1,905.488,18,1
18.6,0,0.039355947,5,246.3802,1,0,1,7370.406,23,1
16.0,0,0.060836524,15,226.8404,2,1,1,6301.1312,18,1
17.6,1,0.082316506,8,160.692,2,1,1,1597.92,18,2
21.25,0,0.155350299,13,178.237,2,1,1,529.311,18,1
7.235,1,0.076841095,9,117.5492,2,1,1,1969.4364,18,2
14.6,0,0.151419185,14,50.3692,2,1,1,1034.6532,15,0
13.85,2,0.026001976,5,161.521,1,2,2,1794.331,13,1
13.65,2,0.073209447,5,197.6426,1,2,2,2768.3964,13,1
9.5,0,0.041683481,14,31.29,1,2,3,898.83,37,0
7.365,0,0.042560252,6,226.172,2,0,1,3169.208,25,1
18.35,1,0.014081156,9,223.5746,1,2,2,3589.9936,13,2
5.465,2,0.034674895857142854,0,132.5626,1,2,2,262.3252,13,1
18.6,0,0.152918384,2,99.8358,2,1,1,1910.1802,15,1
13.85,0,0.030969274,14,140.9154,2,1,1,1701.7848,15,0
14.0,2,0.060376776,5,154.5656,0,2,1,2471.4496,35,1
14.0,2,0.04192285,13,54.764,0,2,1,1331.6,35,1
21.35,0,0.077367431,6,97.0094,1,2,3,1808.9786,37,1
5.905,0,0.045838211,3,222.5456,1,2,2,3315.684,13,1
7.27,0,0.071077939,14,114.2518,2,0,1,2618.5914,25,0
6.155,2,0.094659871,10,214.556,2,0,1,2769.728,25,1
19.5,2,0.077608838,14,233.4958,2,1,1,5375.0034,15,0
15.2,0,0.021327477,3,216.8824,2,1,1,2838.9712,15,1
12.15,2,0.042485444,3,125.0046,1,2,2,1743.0644,13,1
14.6,1,0.025578526,9,198.8084,1,2,3,5555.4352,37,2
12.6,0,0.0489808,1,61.9194,1,2,2,619.194,13,1
14.5,1,0.019471688,11,164.821,2,1,1,2120.573,18,2
16.6,0,0.122918852,6,173.0738,2,1,1,3823.0236,15,1
11.8,2,0.057373797,10,151.4366,0,2,1,1360.2294,35,1
13.1,2,0.044155597,6,178.8318,0,2,1,3969.4996,35,1
17.7,0,0.291865402,6,115.1834,2,2,0,345.5502,24,1
17.85,0,0.070087623,1,196.5794,2,2,0,585.2382,24,1
12.3,2,0.064750025,15,92.6804,2,1,1,1010.6844,20,1
11.8,1,0.098312421,8,81.4618,2,2,0,161.1236,24,2
9.395,2,0.191013663,14,42.1112,2,0,0,42.6112,37,0
11.1,0,0.176573035,0,157.4604,2,1,1,3010.7476,20,1
14.0,2,0.060134441,5,153.0656,1,2,3,6024.1584,37,1
11.3,0,0.007294652,10,198.1426,2,1,1,988.713,20,1
10.0,1,0.128478462,8,117.944,2,0,0,239.688,37,2
5.75,2,0.075107656,4,112.8176,0,2,1,1374.2112,35,1
6.215,2,0.049381406,0,226.8062,1,2,3,4739.8302,37,1
11.35,2,0.045165796,13,100.0016,1,2,2,1012.016,13,1
11.1,2,0.09415375,6,165.7526,2,0,0,657.8104,37,1
14.0,1,0.028907832,8,130.431,1,0,1,778.986,23,2
19.75,2,0.018059621,5,179.766,2,1,1,2336.958,20,1
6.525,1,0.090436094,9,85.0882,1,0,1,2233.0932,23,2
10.3,0,0.146399712,10,103.9648,1,0,1,1661.8368,23,1
5.78,2,0.074264356,13,264.7568,1,0,1,4745.8224,23,1
11.85,2,0.050186726,6,164.1526,2,1,1,3124.5994,20,1
16.35,0,0.020631654,6,50.1324,1,2,2,467.3916,13,1
17.6,1,0.01561108,9,182.5976,1,2,3,5070.7328,37,2
10.5,0,0.041395445,6,37.6164,2,0,1,540.6296,25,1
19.0,2,0.097313129,5,48.0718,2,0,1,992.7078,25,1
14.6,1,0.059582996,11,238.8538,1,0,1,6008.845,23,2
15.6,2,0.098663652,4,62.9194,1,2,3,2105.2596,37,1
4.615,2,0.101338651,3,232.63,1,2,3,5359.69,37,1
18.75,1,0.052146456,8,104.628,2,1,1,745.696,20,2
5.26,2,0.041764487,0,161.8868,2,1,1,3275.736,18,1
18.25,0,0.054344186,13,140.2154,2,1,1,1701.7848,20,1
10.3,0,0.078362484,0,177.937,1,2,3,6704.606,37,1
15.1,0,0.052339069,10,242.7512,2,0,1,4119.9704,25,1
15.5,2,0.042464962,0,81.5934,2,2,0,327.5736,24,1
13.65,0,0.065732883,5,45.7402,1,0,1,780.9834,23,1
16.1,0,0.023625114,14,189.3846,2,1,1,3630.6074,20,0
5.175,2,0.051643608,13,107.3622,2,0,0,317.5866,37,1
12.85,0,0.165694219,5,39.7164,2,2,0,231.6984,24,1
9.5,0,0.041878397,14,32.99,2,1,1,133.16,18,0
13.8,0,0.058091482,4,245.1802,2,1,1,5650.6446,18,0
5.78,2,0.071187097125,13,263.7568,2,1,1,2636.568,15,1
19.7,1,0.026903714,9,96.0726,2,1,1,1272.3438,20,2
14.65,1,0.080426149,9,161.5552,2,2,0,324.9104,24,2
6.67,2,0.150554711,13,130.0626,2,2,0,131.1626,24,1
6.11,2,0.09016231275,6,131.2968,2,2,0,260.9936,24,1
13.65,2,0.134975628,5,260.0936,2,2,0,260.9936,24,1
17.2,0,0.15616879,10,160.6578,0,2,1,3690.5294,35,1
6.32,0,0.012208282125,10,40.2822,2,1,1,1139.1838,18,1
4.88,2,0.133700752,0,52.9298,1,0,1,1995.4026,23,1
5.425,2,0.115119905,0,88.3514,2,1,1,1416.8224,15,1
15.85,2,0.110030997,5,37.2506,2,0,1,265.6542,25,1
7.5,0,0.051038045,3,121.7072,2,1,1,3552.7088,15,1
12.65,0,0.062837968,14,161.5578,0,2,1,2406.867,35,0
9.06,1,0.017116983,11,211.956,2,0,0,213.056,37,2
20.75,0,0.024129332,6,124.173,0,2,1,2956.152,35,1
8.93,0,0.049754975,4,152.134,2,0,0,153.134,37,0
9.0,0,0.0636497982,3,79.7644,2,1,1,1649.8524,18,1
16.7,0,0.101561568,3,181.9292,1,2,3,3101.2964,37,1
6.36,1,0.005949644,9,165.6526,1,2,3,4769.1254,37,2
5.365,2,0.13956116,12,170.4764,1,2,3,3435.528,37,1
14.1,0,0.126035694,6,86.4198,2,1,1,1133.8574,20,1
7.55,0,0.027164679,3,152.334,2,1,1,2603.278,18,1
13.0,1,0.099325278,9,45.406,2,0,1,605.878,25,2
9.3,0,0.04357366,7,192.8846,1,2,3,2293.0152,37,0
17.6,2,0.082741482,13,118.7782,2,0,0,119.1782,37,1
12.3,2,0.064565202,15,92.9804,0,2,1,1929.4884,35,1
7.05,0,0.084554569,13,109.8912,1,2,3,2074.6328,37,1
11.8,1,0.058451805,8,79.9618,1,2,3,241.6854,37,2
17.25,1,0.113748685,9,251.3724,2,1,1,6795.1548,20,2
15.85,1,0.020603511,9,42.7112,2,1,1,639.168,15,2
18.85,1,0.052044976,8,192.1846,2,1,1,3248.4382,18,2
16.35,2,0.062764429,6,227.6062,2,1,1,7222.5984,15,1
14.1,0,0.087977262,4,229.0668,2,1,1,3225.1352,18,0
7.905,0,0.010010425,13,249.0408,2,1,1,3755.112,18,1
12.0,0,0.033946163,3,179.3976,0,2,1,3440.8544,35,1
12.15,2,0.058414678,6,163.4552,2,1,1,974.7312,18,1
10.1,0,0.027106459,10,75.367,1,0,1,535.969,23,1
17.5,0,0.027022883,5,262.491,2,1,1,5259.82,15,1
18.35,0,0.058153409,4,152.034,2,0,0,306.268,37,0
17.1,0,0.128937661,6,112.3886,1,2,2,1779.0176,13,1
7.785,0,0.088846306,6,61.451,1,0,1,759.012,23,1
11.8,2,0.09357779,13,125.9704,0,2,1,1877.556,35,1
13.15,2,0.165694678,6,171.8764,2,1,1,3779.0808,20,1
6.4,0,0.148392623,5,41.5796,2,0,0,41.2796,37,1
8.5,0,0.098438394,3,51.1324,2,1,1,259.662,15,1
8.645,1,0.143303291,8,96.341,0,2,1,193.082,35,2
17.6,2,0.076276208,10,110.9202,2,1,1,1687.803,20,1
9.1,0,0.175103435,0,127.5362,2,1,1,4655.9394,15,1
12.8,2,0.023511371,10,225.9404,0,2,1,4950.8888,35,1
7.63,0,0.06105276,14,95.4436,2,1,1,1418.154,18,0
9.285,2,0.049559042,5,246.4144,2,1,1,1225.072,15,1
13.6,2,0.119418124,4,231.03,2,1,1,5359.69,20,1
8.895,0,0.072545601,2,176.237,2,1,1,1764.37,20,1
16.35,1,0.090486828,9,195.211,0,2,1,2553.343,35,2
17.6,0,0.056245075,5,43.3454,0,2,1,1006.6896,35,1
7.975,0,0.014618973,0,85.225,0,2,1,1081.925,35,1
15.85,0,0.043479126,15,36.7164,2,1,1,308.9312,15,1
15.7,0,0.045166237,5,178.666,0,2,1,2516.724,35,1
8.985,2,0.057827101,5,128.831,2,0,1,1428.141,25,1
20.35,0,0.089394766,4,260.1594,0,2,1,2093.2752,35,1
6.59,0,0.10550944,6,85.6908,0,2,1,1929.4884,35,1
19.85,0,0.005234153,4,264.0884,2,1,1,5829.7448,18,1
16.85,0,0.036390174,13,91.4488,2,0,1,2082.6224,25,1
19.35,0,0.03292824,10,173.1738,1,2,3,7298.4996,37,1
16.75,0,0.081252534,6,256.4988,0,2,1,7452.9652,35,1
17.6,2,0.076552407,10,110.5202,2,1,1,450.0808,15,1
7.905,0,0.016758569,13,250.4408,2,2,0,500.6816,24,1
17.85,0,0.044248175,13,126.202,1,2,3,3668.558,37,1
7.785,2,0.038288087,6,103.1964,1,2,2,736.3748,13,1
7.825,1,0.186032678,9,253.0698,2,1,1,6088.0752,18,2
9.0,1,0.031867464,9,101.0016,1,2,3,2125.2336,37,2
20.75,0,0.021370201,14,153.0024,2,1,1,2277.036,15,0
11.1,0,0.193772568,6,190.3846,2,0,0,573.2538,37,1
6.26,2,0.009866049,10,151.1366,2,1,1,2267.049,18,1
18.2,0,0.082551042,6,147.3734,2,2,0,296.9468,24,1
13.0,1,0.099729888,9,46.306,1,2,2,559.272,13,2
20.25,2,0.018801549,6,222.1772,2,1,1,5559.43,18,1
8.695,1,0.119721451,9,95.5094,1,0,1,1237.7222,23,2
7.27,0,0.071222087,14,113.5518,2,1,1,569.259,20,0
10.695,2,0.060371962,2,174.0712,1,2,3,3866.9664,37,1
12.85,0,0.033287541,6,198.4768,2,1,1,1379.5376,20,1
7.075,0,0.05858462,4,142.7128,1,2,2,1869.5664,13,1
20.2,2,0.11679292,0,196.211,1,2,3,5499.508,37,1
8.195,0,0.031452265,0,94.3462,1,0,1,925.462,23,1
7.09,0,0.00721395,0,47.9034,2,1,1,583.2408,18,1
6.095,1,0.081196619,11,141.4154,2,0,1,1418.154,25,2
19.35,2,0.049916364,6,80.2644,2,1,1,942.7728,15,1
6.15,0,0.04627095,0,99.3384,2,0,1,2364.9216,25,1
17.35,2,0.02747716,3,87.9856,1,2,3,3251.7672,37,1
20.2,2,0.104704537,6,125.2678,2,0,0,254.3356,37,1
17.7,1,0.012540003,9,167.0474,2,1,1,5895.659,18,2
17.85,0,0.147023834,1,93.7436,1,2,2,1134.5232,13,1
9.395,0,0.159657596,14,224.972,2,1,1,7696.648,20,0
15.75,0,0.141398626,7,250.5382,2,1,1,2775.7202,15,0
7.475,0,0.148821808,6,241.2854,2,1,1,5317.0788,20,1
7.075,0,0.0216568475,5,98.0068,1,2,2,874.8612,13,1
6.445,0,0.029691762,0,92.6436,2,0,1,1039.9796,25,1
19.1,0,0.096715523,6,235.0958,2,1,1,3038.0454,18,1
20.25,2,0.014790559,4,193.6162,2,1,1,3848.324,18,1
15.0,2,0.054378253,3,59.1904,2,0,1,527.3136,25,1
6.67,2,0.123428594,13,89.1514,2,0,1,2390.8878,25,1
13.0,2,0.029943463,3,60.222,1,2,3,1677.816,37,1
16.7,2,0.052368061,5,112.7176,0,2,1,801.6232,35,1
7.07,0,0.093861144,13,115.5834,2,1,1,1267.0174,20,1
6.48,0,0.033968647,13,148.0076,2,1,1,886.8456,20,1
19.0,2,0.173154079,6,228.272,2,2,0,452.744,24,1
13.35,0,0.139735226,5,147.5392,2,1,1,3877.6192,20,1
5.98,0,0.043351896,6,146.6418,1,2,3,4414.254,37,1
9.3,0,0.042086652,7,122.4388,1,2,3,5448.9072,37,0
9.695,2,0.12848269,0,223.9404,1,0,1,4950.8888,23,1
15.0,0,0.049357077,14,62.6168,2,1,1,958.752,15,0
11.15,2,0.008326735,4,149.9708,2,1,1,1956.1204,15,1
20.85,0,0.021362955,6,103.2306,1,0,1,2404.2038,23,1
9.8,1,0.151420934,11,194.3478,2,2,0,387.4956,24,2
16.35,0,0.032511818,10,165.0842,0,2,1,994.7052,35,1
9.6,2,0.022323658,1,101.299,2,1,1,1754.383,20,1
18.0,1,0.019292355,8,129.9994,1,2,3,3340.9844,37,2
13.35,0,0.048124443,1,216.7166,2,1,1,3918.8988,20,1
20.7,0,0.09261307,4,76.367,0,2,1,306.268,35,0
15.1,0,0.094697274,0,158.4604,1,2,3,4278.4308,37,1
16.2,0,0.035984104,6,260.6278,2,1,1,4425.5726,20,1
13.8,2,0.056596985,13,230.9984,1,2,3,9267.936,37,1
15.6,0,0.2047,5,76.867,2,0,0,229.701,37,1
21.1,2,0.020618324,2,129.3994,1,2,3,2055.9904,37,1
5.5,1,0.04709821,11,101.3016,2,0,1,3339.6528,25,2
15.1,2,0.087584126,6,221.7456,2,1,1,6410.3224,20,1
15.7,2,0.038078899,5,122.9046,2,1,1,1992.0736,15,1
7.895,2,0.095102092,2,104.4332,2,1,1,2870.9296,15,1
17.2,2,0.011953902,3,164.5184,1,2,3,2807.0128,37,1
17.35,2,0.062799379,0,88.183,0,2,1,539.298,35,1
7.285,1,0.031125709,9,174.3054,0,2,1,4377.635,35,2
20.25,1,0.026005891,9,180.9976,2,1,1,2716.464,20,2
18.75,0,0.09246392,13,190.9504,2,0,0,383.5008,37,1
15.85,0,0.107765165,14,59.5904,1,0,1,703.0848,23,0
6.17,0,0.010647477,10,66.3826,1,0,1,1937.478,23,1
19.5,1,0.015749341,9,182.2608,1,0,1,3307.6944,23,2
19.2,1,0.077628053,9,197.611,1,0,1,3142.576,23,2
16.7,0,0.08165737440000001,3,181.2292,1,2,2,2554.0088,13,1
20.85,2,0.056695731,1,104.0648,1,2,2,1869.5664,13,1
14.5,2,0.063993068,1,260.4594,2,1,1,5494.8474,20,1
11.395,2,0.069529262,10,233.1616,0,2,1,6093.4016,35,1
7.97,0,0.034452949,14,174.0422,2,0,1,2586.633,25,0
7.71,2,0.06670068,13,55.2956,1,0,1,1255.6988,23,1
19.25,2,0.034699737,3,141.7496,2,0,1,4093.3384,25,1
7.075,0,0.058346939,4,142.2128,2,0,1,3163.8816,25,1
19.35,2,0.065203103,10,166.0816,1,2,3,5033.448,37,1
11.6,2,0.078929571,5,79.9276,2,0,1,1137.1864,25,1
8.985,0,0.182514881,6,98.77,1,2,3,2696.49,37,1
12.1,0,0.016895293,7,178.566,1,2,2,898.83,13,0
10.0,1,0.073379745,8,118.244,2,0,1,2756.412,25,2
14.35,0,0.08075758,0,81.896,2,1,1,878.856,20,1
10.395,0,0.112271498,13,58.222,1,0,1,659.142,23,1
17.7,0,0.153741385,4,182.6292,2,0,0,182.4292,37,1
8.1,0,0.127929521,6,211.4902,0,2,1,3610.6334,35,1
8.05,2,0.07838564,6,256.4646,2,1,1,5153.292,18,1
9.195,2,0.078502143,10,108.7596,2,1,1,2588.6304,15,1
20.7,2,0.047684831,4,212.5876,1,2,2,1286.3256,13,1
15.7,2,0.123159656,6,110.1544,2,1,1,1230.3984,15,1
15.1,2,0.0831167354,6,60.2194,1,2,3,1733.7432,37,1
18.35,1,0.053392944,8,193.8162,2,0,0,384.8324,37,2
16.5,1,0.036715907,9,180.0318,2,1,1,3969.4996,20,2
9.0,0,0.065236932,13,176.437,2,1,1,7763.228,18,1
6.785,2,0.041947547,10,41.2112,0,2,1,809.6128,35,1
19.5,0,0.082888496,3,178.6002,1,2,2,1253.7014,13,1
7.575,0,0.055390121,4,195.2768,2,0,1,5715.2272,25,1
18.2,2,0.012194556,6,57.7904,0,2,1,1464.76,35,1
16.75,0,0.060495243,4,169.8106,0,2,1,3251.1014,35,1
7.47,2,0.12070057233333333,5,214.3218,2,1,1,4274.436,18,1
20.35,2,0.014753811,6,231.7958,1,2,3,5375.0034,37,1
18.2,0,0.160707489,6,38.019,1,2,3,1318.284,37,1
13.85,2,0.085622362,10,119.4124,1,2,2,2251.7356,13,1
6.635,2,0.046350909,5,37.4506,2,1,1,1176.4686,15,1
6.11,2,0.102920886,6,130.4968,2,0,1,3523.4136,25,1
15.25,0,0.026604781,13,86.2198,2,1,1,610.5386,18,1
15.85,0,0.1302718615714286,3,96.4094,2,1,1,1237.7222,18,1
15.2,0,0.031860325,13,235.1248,2,2,0,474.0496,24,1
14.65,2,0.08282697433333333,13,52.6666,1,2,3,717.7324,37,1
20.75,0,0.021250002,14,150.5024,2,0,1,2580.6408,25,0
10.195,0,0.159936948,5,143.2154,2,0,1,2552.6772,25,1
7.605,0,0.129503146,6,164.021,2,1,1,3914.904,20,1
18.0,2,0.142688846,6,88.5514,2,0,1,796.9626,25,1
13.35,0,0.179484411,4,228.9352,2,0,0,916.1408,37,1
18.35,1,0.089163056,9,191.3504,2,1,1,3259.7568,20,2
6.59,0,0.105761491,6,84.8908,1,0,1,1677.816,23,1
13.8,2,0.056960814,13,230.0984,1,0,1,3707.1744,23,1
21.2,2,0.00704098,15,173.5738,2,0,1,2954.1546,25,1
10.5,2,0.011026594,13,166.4842,1,2,2,2652.5472,13,1
8.97,1,0.093203257,9,52.7956,2,1,1,1037.3164,20,2
10.895,1,0.026916794,11,50.9666,1,2,3,717.7324,37,2
10.6,1,0.035264298,8,86.1224,2,1,1,426.112,20,2
13.65,0,0.015908424,1,231.1668,2,1,1,6911.004,18,1
